long,lat,address,year,name,event,street_view
34.04875,-118.23173,1001 E 1st St,2012,Pickle Works Building,Protest against demolition,https://www.google.com/maps/embed?pb=!4v1524725682667!6m8!1m7!1sTykX8NfOYIbVelwvrUhQ-g!2m2!1d34.04908801639885!2d-118.2317517957088!3f173.78204938640218!4f6.775587919938857!5f1.1924812503605782
34.03854,-118.22814,E 6th St / Whittier Blvd,2016,Sixth Street Bridge,Protest against demolition,https://www.google.com/maps/embed?pb=!4v1524725935089!6m8!1m7!1svArIaXuUzpwbpYyhovtj4Q!2m2!1d34.03856765425092!2d-118.2280722414806!3f53.43401988866821!4f1.9677027144347647!5f0.7820865974627469
34.045,-118.23598,800 Traction Ave,2017,800 Traction Ave,Community organizing against eviction,https://www.google.com/maps/embed?pb=!4v1524725999691!6m8!1m7!1s0Jr8MIJdNE8Bv56ACyu9lQ!2m2!1d34.04522386255521!2d-118.2358925559955!3f209.39977470974344!4f15.284736432520845!5f0.7820865974627469
34.04179,-118.2373,454 Seaton St,2017,Artists Loft Museum,Community organizing against eviction,https://www.google.com/maps/embed?pb=!4v1524726055244!6m8!1m7!1srMReYhm7-v7Ot88_7oIWwA!2m2!1d34.04173601321143!2d-118.237479210625!3f77.63215642596526!4f7.312953003002008!5f0.7820865974627469
34.04777,-118.24192,244 S San Pedro St,2017,Common Field Eviction Parade,Parade against eviction,https://www.google.com/maps/embed?pb=!4v1524726746100!6m8!1m7!1sjsbXfZKkq82MmdCjew5FAw!2m2!1d34.04794299562926!2d-118.2423611375571!3f113.7945!4f0!5f0.7820865974627469
34.03136,-118.22968,1000 S Santa Fe Ave,2015,SoHo House Evictions,Protest against eviction,https://www.google.com/maps/embed?pb=!4v1524726812192!6m8!1m7!1stwk3NiDyKishv_zMN2lneQ!2m2!1d34.03142582247339!2d-118.2300445962585!3f93.78630542399274!4f14.682321818751817!5f0.7820865974627469
34.0456,-118.23606,800 E 3rd St,2009,Wurstkuche,Protest against new development,https://www.google.com/maps/embed?pb=!4v1524727028146!6m8!1m7!1sMwC1re-uaOfGOfeETK-kVQ!2m2!1d34.04579938197472!2d-118.236102790535!3f175.28433936564892!4f3.992906930116618!5f0.7820865974627469
